sex,n_hs2,Z1,edu,D1,prevearn,Y1,Z2,D2,earnings,Y2
0,17,0,12,1,0,0,1,1,1353,0
0,16,0,11,0,3591,0,1,1,4984,0
0,28,0,12,1,0,0,1,0,27707,1
0,13,0,10,0,9476,1,1,0,31860,1
0,1,0,9,0,9600,1,0,0,26615,1
1,15,0,12,1,200,0,1,1,48541,1
1,39,1,13,1,10000,1,1,0,3240,0
0,28,0,12,1,0,0,1,1,8385,0
1,39,1,12,1,10339,1,1,1,4036,0
1,39,1,12,1,5000,0,1,0,16419,1
0,9,0,12,1,150,0,1,0,22221,1
0,9,0,8,0,1671,0,1,0,1933,0
1,19,0,12,1,0,0,0,0,19541,1
0,16,0,12,1,1569,0,1,1,25766,1
1,15,0,12,1,11400,1,1,1,9879,0
1,40,1,13,1,5000,0,0,0,25199,1
0,15,0,17,1,3412,0,0,0,24765,1
1,2,0,14,1,8000,1,1,0,29780,1
1,13,0,12,1,12300,1,0,0,18888,1
0,16,0,12,1,7751,1,1,1,33390,1
0,1,0,11,0,600,0,0,0,12537,1
0,13,0,12,1,6634,1,0,0,48254,1
0,17,0,10,0,0,0,0,0,23686,1
0,16,0,12,1,500,0,0,0,10112,0
0,13,0,12,1,8460,1,0,0,33570,1
1,37,1,9,0,2500,0,0,0,12301,1
0,2,0,12,1,8020,1,0,0,27676,1
1,39,1,12,1,13000,1,0,0,57676,1
0,13,0,12,1,4500,0,1,1,38018,1
0,19,0,9,0,0,0,1,1,3366,0
1,1,0,9,0,1000,0,1,1,4038,0
0,2,0,14,1,4000,0,0,1,13892,1
0,15,0,13,1,2041,0,0,0,14598,1
0,13,0,9,0,0,0,1,1,439,0
1,37,1,15,1,0,0,1,1,20609,1
0,17,0,12,1,3500,0,0,0,37644,1
1,346,1,10,0,5200,0,1,0,21219,1
0,16,0,12,1,4500,0,0,0,9747,0
0,13,0,10,0,154,0,0,0,0,0
1,17,0,11,0,10000,1,1,1,31196,1
0,15,0,13,1,10000,1,0,0,34728,1
1,28,0,11,0,0,0,0,0,126,0
1,39,1,10,0,2000,0,1,1,1763,0
0,15,0,10,0,30,0,1,1,7028,0
1,13,0,12,1,0,0,1,1,4506,0
1,13,0,14,1,1200,0,1,1,2203,0
1,0,0,12,1,2948,0,0,0,3765,0
0,1,0,12,1,0,0,1,1,5475,0
0,1,0,12,1,0,0,0,0,12394,1
1,0,0,12,1,0,0,1,1,8372,0
0,13,0,12,1,0,0,1,1,11018,0
0,13,0,12,1,0,0,0,0,1109,0
1,9,0,9,0,1800,0,0,0,75,0
0,1,0,12,1,0,0,0,0,26944,1
0,17,0,12,1,12000,1,0,0,2787,0
1,13,0,11,0,0,0,1,1,11832,1
0,16,0,15,1,3200,0,1,1,8127,0
1,13,0,12,1,14102,1,0,0,26525,1
1,13,0,12,1,1500,0,1,1,8860,0
1,13,0,12,1,11653,1,1,1,43596,1
1,13,0,14,1,1000,0,1,1,48727,1
0,13,0,12,1,0,0,1,1,28029,1
0,19,0,11,0,0,0,0,0,20865,1
1,13,0,16,1,5280,0,1,1,56089,1
1,9,0,10,0,1546,0,1,0,4310,0
0,19,0,11,0,0,0,1,0,2952,0
0,13,0,12,1,4500,0,1,1,23830,1
0,0,0,13,1,4421,0,1,0,13871,1
1,37,1,13,1,12088,1,1,1,9962,0
1,13,0,10,0,5500,0,1,0,14459,1
0,13,0,12,1,9000,1,0,0,3721,0
0,13,0,9,0,500,0,1,0,6261,0
1,13,0,12,1,4000,0,0,0,35676,1
0,19,0,10,0,0,0,1,0,12758,1
0,13,0,12,1,8440,1,1,1,9003,0
1,28,0,11,0,100,0,0,0,24135,1
1,2,0,11,0,11490,1,0,0,2612,0
1,39,1,12,1,2500,0,1,0,698,0
0,1,0,11,0,0,0,1,0,141,0
1,15,0,12,1,6500,1,1,0,34593,1
1,1,0,12,1,6000,1,1,1,10840,0
1,37,1,10,0,1927,0,0,0,0,0
1,16,0,10,0,150,0,1,1,0,0
1,9,0,13,1,8000,1,1,0,27431,1
0,13,0,8,0,0,0,0,0,0,0
0,13,0,12,1,8750,1,1,1,0,0
0,19,0,12,1,0,0,0,0,0,0
0,9,0,11,0,422,0,1,0,1929,0
1,39,1,16,1,3815,0,1,0,0,0
1,15,0,15,1,2000,0,1,1,90483,1
0,39,1,12,1,1000,0,0,0,19344,1
0,13,0,12,1,15000,1,1,0,47184,1
1,17,0,12,1,212,0,0,0,1008,0
0,2,0,14,1,6000,1,1,0,22026,1
1,15,0,13,1,7000,1,1,1,19501,1
1,13,0,10,0,10000,1,0,0,60007,1
1,16,0,17,1,5500,0,0,0,13383,1
1,39,1,12,1,11000,1,1,1,42547,1
1,16,0,12,1,2300,0,1,1,9285,0
1,15,0,12,1,4000,0,1,1,2769,0
0,2,0,13,1,450,0,0,0,22820,1
1,13,0,15,1,1300,0,0,0,6119,0
1,1,0,9,0,0,0,0,0,8952,0
1,13,0,14,1,5500,0,1,0,11797,1
1,15,0,12,1,12000,1,0,0,53103,1
0,13,0,14,1,2000,0,0,0,6432,0
0,19,0,8,0,0,0,1,1,0,0
0,15,0,10,0,0,0,1,1,0,0
0,13,0,12,1,700,0,1,1,20014,1
0,1,0,8,0,0,0,0,0,0,0
1,17,0,11,0,4875,0,1,0,51495,1
1,13,0,12,1,0,0,1,1,13500,1
0,16,0,14,1,3000,0,1,1,2874,0
1,13,0,14,1,2856,0,1,0,45968,1
1,9,0,11,0,9625,1,0,0,29458,1
0,1,0,14,1,600,0,1,1,24365,1
1,15,0,15,1,10000,1,1,1,3999,0
0,13,0,11,0,6500,1,1,0,43734,1
1,9,0,12,1,10000,1,0,0,83989,1
1,37,1,12,1,19000,1,0,0,0,0
0,1,0,8,0,3000,0,0,0,37122,1
0,13,0,11,0,1024,0,1,0,40305,1
1,5,0,16,1,5000,0,0,0,2824,0
0,1,0,10,0,0,0,0,0,10371,0
0,16,0,12,1,0,0,1,1,25585,1
1,19,0,8,0,8120,1,1,1,17470,1
0,19,0,9,0,350,0,0,0,5854,0
1,13,0,11,0,86,0,0,0,10047,0
0,16,0,16,1,14665,1,0,0,62424,1
1,2,0,8,0,1045,0,1,1,0,0
1,19,0,12,1,0,0,1,0,0,0
0,16,0,10,0,5730,0,1,1,26214,1
0,9,0,10,0,2400,0,0,0,17943,1
1,15,0,9,0,6000,1,0,0,0,0
0,13,0,11,0,1000,0,1,0,12586,1
1,2,0,9,0,0,0,1,0,5637,0
0,2,0,11,0,0,0,0,0,1935,0
1,13,0,12,1,2112,0,1,0,11619,1
1,39,1,11,0,2725,0,1,0,5992,0
1,16,0,13,1,1100,0,0,0,2993,0
1,39,1,12,1,671,0,0,0,0,0
0,13,0,10,0,130,0,1,0,22614,1
0,39,1,9,0,5200,0,1,1,22636,1
0,9,0,12,1,3000,0,1,0,22895,1
0,13,0,13,1,11475,1,1,0,9343,0
0,13,0,12,1,8786,1,1,0,17181,1
0,39,1,12,1,550,0,1,1,1611,0
0,5,0,13,1,0,0,0,0,1455,0
1,16,0,15,1,0,0,1,1,14757,1
0,17,0,10,0,3792,0,1,0,0,0
1,13,0,8,0,300,0,1,0,11636,1
0,17,0,12,1,200,0,1,1,201,0
1,17,0,12,1,0,0,1,0,17739,1
1,19,0,14,1,2800,0,0,0,8284,0
0,13,0,12,1,5400,0,1,1,31312,1
1,15,0,12,1,1400,0,1,1,17038,1
1,17,0,11,0,0,0,1,1,325,0
1,16,0,12,1,15000,1,1,1,17160,1
0,19,0,12,1,3800,0,1,1,19329,1
0,13,0,10,0,7500,1,0,0,15841,1
1,28,0,12,1,2100,0,0,0,7551,0
1,13,0,10,0,3900,0,0,0,1956,0
0,0,0,13,1,5000,0,1,1,0,0
1,1,0,9,0,98,0,1,0,4446,0
1,37,1,8,0,5915,0,1,1,9449,0
0,13,0,13,1,1300,0,1,0,31774,1
0,37,1,12,1,0,0,1,1,27546,1
1,1,0,8,0,400,0,1,0,1440,0
1,13,0,12,1,300,0,1,1,14295,1
1,17,0,11,0,3235,0,1,1,7898,0
0,13,0,12,1,7000,1,0,0,34745,1
0,16,0,14,1,4000,0,0,0,3779,0
0,1,0,11,0,150,0,1,1,247,0
0,13,0,12,1,2808,0,0,0,22289,1
1,13,0,12,1,6000,1,1,1,8550,0
1,13,0,12,1,0,0,1,0,700,0
0,37,1,11,0,2160,0,0,0,16977,1
0,1,0,8,0,1000,0,1,0,19416,1
1,16,0,12,1,3593,0,1,1,35986,1
0,15,0,12,1,300,0,1,1,7591,0
1,1,0,11,0,600,0,1,1,21561,1
0,13,0,12,1,3000,0,1,0,4968,0
